t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
3.312012171745300293e+01,3.816019515448950683e-01,-6.424423525330708040e-02,4.106221313700086917e-01,3.613793785341353204e-01,-8.028857961797462861e-02,4.128789338110611107e-01,2.022257301075974789e-02,1.604434436466754821e-02,-2.256802441052419006e-03
3.313986945152282715e+01,3.812474679993089755e-01,-6.454895376611620439e-02,4.106221313700086917e-01,3.613793785341353204e-01,-8.028857961797462861e-02,4.128789338110611107e-01,1.986808946517365504e-02,1.573962585185842422e-02,-2.256802441052419006e-03
3.315982222557067871e+01,3.808875361807731452e-01,-6.486041961656310861e-02,4.106221313700086917e-01,3.613793785341353204e-01,-8.028857961797462861e-02,4.128789338110611107e-01,1.950815764663782481e-02,1.542816000141152000e-02,-2.256802441052419006e-03
3.317992496490478516e+01,3.805269734798200632e-01,-6.517446792031418579e-02,4.106221313700086917e-01,3.613809943286903081e-01,-8.028418636252035445e-02,4.128803454954887431e-01,1.914597915112975501e-02,1.510971844220616866e-02,-2.258214125480051404e-03
3.319972229003906250e+01,3.801660764503516643e-01,-6.549080000239554389e-02,4.106221313700086917e-01,3.613866656887331219e-01,-8.026876625025149148e-02,4.128853004389443360e-01,1.877941076161854239e-02,1.477796624785594759e-02,-2.263169068935644290e-03
3.321986865997314453e+01,3.798008615152110856e-01,-6.581289698359162055e-02,4.106221313700086917e-01,3.613866656887331219e-01,-8.026876625025149148e-02,4.128853004389443360e-01,1.841419582647796371e-02,1.445586926665987093e-02,-2.263169068935644290e-03
3.323979830741882324e+01,3.794398461310451443e-01,-6.613319969762522510e-02,4.106221313700086917e-01,3.613866656887331219e-01,-8.026876625025149148e-02,4.128853004389443360e-01,1.805318044231202235e-02,1.413556655262626638e-02,-2.263169068935644290e-03
3.325979614257812500e+01,3.790765794043257086e-01,-6.645736799190553323e-02,4.106221313700086917e-01,3.613866656887331219e-01,-8.026876625025149148e-02,4.128853004389443360e-01,1.768991371559258674e-02,1.381139825834595825e-02,-2.263169068935644290e-03
3.327986717224121094e+01,3.787121800020391560e-01,-6.678438173769175867e-02,4.106221313700086917e-01,3.613868645832671866e-01,-8.026882172458738030e-02,4.128851504874404554e-01,1.732531541877196934e-02,1.348443998689562162e-02,-2.263019117431763760e-03
3.329977583885192871e+01,3.783486599309070497e-01,-6.711238963525825718e-02,4.106221313700086917e-01,3.613875585303830129e-01,-8.026901527568508499e-02,4.128846273035625680e-01,1.696110140052403681e-02,1.315662564042682781e-02,-2.262495933553876348e-03
3.331983971595764160e+01,3.779823812247674608e-01,-6.744464026800479906e-02,4.106221313700086917e-01,3.613875585303830129e-01,-8.026901527568508499e-02,4.128846273035625680e-01,1.659482269438444790e-02,1.282437500768028593e-02,-2.262495933553876348e-03
3.333990406990051270e+01,3.776159416270949420e-01,-6.777875046004409876e-02,4.106221313700086917e-01,3.613875585303830129e-01,-8.026901527568508499e-02,4.128846273035625680e-01,1.622838309671192913e-02,1.249026481564098623e-02,-2.262495933553876348e-03
3.336007285118103027e+01,3.772475914255197238e-01,-6.811628212899256685e-02,4.106221313700086917e-01,3.613875585303830129e-01,-8.026901527568508499e-02,4.128846273035625680e-01,1.586003289513671088e-02,1.215273314669251814e-02,-2.262495933553876348e-03
3.337974238395690918e+01,3.768826409277338252e-01,-6.845231207556158604e-02,4.106221313700086917e-01,3.613876254602436111e-01,-8.026903394331508235e-02,4.128845768430820518e-01,1.549501546749021408e-02,1.181672186775349631e-02,-2.262445473073360080e-03
3.340001249313354492e+01,3.765116248783995090e-01,-6.879552540776928682e-02,4.106221313700086917e-01,3.613878561434420433e-01,-8.026909828393312407e-02,4.128844029239234770e-01,1.512376873495746565e-02,1.147357287616383725e-02,-2.262271553914785294e-03
3.341989684104919434e+01,3.761445678698602246e-01,-6.913661529591359767e-02,4.106221313700086917e-01,3.613878561434420433e-01,-8.026909828393312407e-02,4.128844029239234770e-01,1.475671172641818130e-02,1.113248298801952640e-02,-2.262271553914785294e-03
3.343981122970581055e+01,3.757768634931136775e-01,-6.947979476189056203e-02,4.106221313700086917e-01,3.613878561434420433e-01,-8.026909828393312407e-02,4.128844029239234770e-01,1.438900734967163419e-02,1.078930352204256204e-02,-2.262271553914785294e-03
3.345979452133178711e+01,3.754084118927515368e-01,-6.982511900829707630e-02,4.106221313700086917e-01,3.613878561434420433e-01,-8.026909828393312407e-02,4.128844029239234770e-01,1.402055574930949344e-02,1.044397927563604778e-02,-2.262271553914785294e-03
3.347974443435668945e+01,3.750389689843813268e-01,-7.017278056080730742e-02,4.106221313700086917e-01,3.613944421223252990e-01,-8.024885461807168552e-02,4.128922337596517833e-01,1.364452686205602783e-02,1.007607405726437810e-02,-2.270102389643091634e-03
3.349985098838806152e+01,3.746669397251142786e-01,-7.052425400574088843e-02,4.106221313700086917e-01,3.614169485027798334e-01,-8.017967558580509080e-02,4.129189942111051725e-01,1.324999122233444515e-02,9.655421580064202369e-03,-2.296862841096480867e-03
3.352054286003112793e+01,3.742979348080484048e-01,-7.087418997260544473e-02,4.106221313700086917e-01,3.614169485027798334e-01,-8.017967558580509080e-02,4.129189942111051725e-01,1.288098630526857136e-02,9.305485613199646067e-03,-2.296862841096480867e-03
3.353982210159301758e+01,3.739253066515896284e-01,-7.122884913500897308e-02,4.106221313700086917e-01,3.614169485027798334e-01,-8.017967558580509080e-02,4.129189942111051725e-01,1.250835814880979502e-02,8.950826450796117717e-03,-2.296862841096480867e-03
3.355977344512939453e+01,3.735560025722211019e-01,-7.158157491428374097e-02,4.106221313700086917e-01,3.614169485027798334e-01,-8.017967558580509080e-02,4.129189942111051725e-01,1.213905406944126852e-02,8.598100671521349825e-03,-2.296862841096480867e-03
3.357973146438598633e+01,3.731845807230468326e-01,-7.193751298081177414e-02,4.106221313700086917e-01,3.614171169314230325e-01,-8.017988926195335209e-02,4.129187354882722372e-01,1.176746379162380007e-02,8.242376281141577943e-03,-2.296604118263545491e-03
3.359986162185668945e+01,3.728127295908109096e-01,-7.229501170083796335e-02,4.106221313700086917e-01,3.614176996628445382e-01,-8.018062854123071681e-02,4.129178403559397026e-01,1.139502992796637137e-02,7.885616840392753457e-03,-2.295708985931010915e-03
3.361975574493408203e+01,3.724395340562151602e-01,-7.265491311968778898e-02,4.106221313700086917e-01,3.614176996628445382e-01,-8.018062854123071681e-02,4.129178403559397026e-01,1.102183439337062199e-02,7.525715421542927830e-03,-2.295708985931010915e-03
3.363994097709655762e+01,3.720671568476621727e-01,-7.301508816762730669e-02,4.106221313700086917e-01,3.614176996628445382e-01,-8.018062854123071681e-02,4.129178403559397026e-01,1.064945718481763448e-02,7.165540373603410118e-03,-2.295708985931010915e-03
3.365987539291381836e+01,3.716933257565503412e-01,-7.337769151049411409e-02,4.106221313700086917e-01,3.614176996628445382e-01,-8.018062854123071681e-02,4.129178403559397026e-01,1.027562609370580304e-02,6.802937030736602719e-03,-2.295708985931010915e-03
3.367985224723815918e+01,3.713187159055735820e-01,-7.374203158052752838e-02,4.106221313700086917e-01,3.614178326259312457e-01,-8.018066562763143112e-02,4.129176358343537578e-01,9.900883279642336277e-03,6.438634047103902747e-03,-2.295504464345066165e-03
3.369963788986206055e+01,3.709473158966400397e-01,-7.410417448047307287e-02,4.106221313700086917e-01,3.614183182564492114e-01,-8.018080108092480451e-02,4.129168888456503650e-01,9.528997640190828289e-03,6.076626600451731641e-03,-2.294757475641673317e-03
3.372042560577392578e+01,3.705640228513221723e-01,-7.447883207889202661e-02,4.106221313700086917e-01,3.614183182564492114e-01,-8.018080108092480451e-02,4.129168888456503650e-01,9.145704594872960946e-03,5.701969002032777900e-03,-2.294757475641673317e-03
